Airline,Count Slots,Profit,% of Flights Kept,% of Passengers Kept,Runtime
AS,0,1640638792.9314637,63.96289248334919,56.94963392127794,23.319064140319824
AS,1,2154967058.6988363,75.523311132255,63.80982815478171,350.2377429008484
AS,2,2248415418.9624014,79.25784966698383,64.48790578767434,179.7638339996338
AS,3,2252749489.5488987,82.25499524262607,64.74053036033038,44.90221095085144
AS,4,2255022998.203879,82.54043767840152,64.75717030224185,36.387880086898804
AS,5,2255644889.100646,82.63558515699334,64.75925029498079,37.06538987159729
AS,6,2255685288.2902117,82.6593720266413,64.75943938522978,37.46004295349121
AS,7,2255668894.8652816,82.68315889628924,64.75962847547878,41.64775991439819
AS,8,2254432209.734533,82.9210275927688,64.76927207817748,31.858448028564453
B6,0,331281243.02485055,18.021472392638035,32.52279483897954,2.5231480598449707
B6,1,1019177627.8811071,45.05368098159509,61.3565854800237,3867.054207801819
B6,2,1231333804.742883,60.73619631901841,67.68585699133024,776.3188409805298
B6,3,1292002059.290092,67.33128834355828,69.73677002982875,225.05124807357788
B6,4,1312754526.5043046,69.32515337423312,70.37218705960272,167.50614190101624
B6,5,1321462444.9024723,69.97699386503068,70.11025182632599,181.07832288742065
B6,6,1321514456.500823,70.36042944785275,70.4994198582761,146.07365798950195
B6,7,1321514456.500823,70.36042944785275,70.4994198582761,147.42663311958313
B6,8,1321514456.500823,70.36042944785275,70.4994198582761,145.9970099925995
F9,0,222769262.45673838,58.1151832460733,78.9823022888363,4.618419885635376
F9,1,260221897.77243692,71.20418848167539,83.15259120127419,6.343188047409058
F9,2,264273030.38241404,73.82198952879581,83.47748285117805,5.850536108016968
F9,3,264273030.38241404,73.82198952879581,83.47748285117805,5.824162006378174
F9,4,264273030.38241404,73.82198952879581,83.47748285117805,5.971794128417969
F9,5,264273030.38241404,73.82198952879581,83.47748285117805,5.731471061706543
F9,6,264273030.38241404,73.82198952879581,83.47748285117805,6.28605318069458
F9,7,264273030.38241404,73.82198952879581,83.47748285117805,5.9045469760894775
F9,8,264273030.38241404,73.82198952879581,83.47748285117805,5.753708124160767
HA,0,313529816.0845736,50.508069336521224,28.907346790658806,112.75580191612244
HA,1,455705461.34949833,60.31081888822475,34.349169577696074,136.6089460849762
HA,2,455705461.34949833,60.31081888822475,34.349169577696074,135.7772979736328
HA,3,455705461.34949833,60.31081888822475,34.349169577696074,136.99332284927368
HA,4,455705461.34949833,60.31081888822475,34.349169577696074,137.00569796562195
HA,5,455705461.34949833,60.31081888822475,34.349169577696074,137.61006903648376
HA,6,455705461.34949833,60.31081888822475,34.349169577696074,135.3313660621643
HA,7,455705461.34949833,60.31081888822475,34.349169577696074,133.6063470840454
HA,8,455705461.34949833,60.31081888822475,34.349169577696074,138.40916395187378
NK,0,508878614.952856,52.16320787900105,74.12316738490087,24.31575584411621
NK,1,752733183.3415966,70.87583538515652,85.04703455908245,63.599745988845825
NK,2,805180657.6136365,76.08160393950052,85.6861791617061,37.79314208030701
NK,3,812626315.8776336,76.89060851213507,85.69679896708419,39.94874715805054
NK,4,814259361.9117455,77.06647907140345,85.70015258983517,40.53953194618225
NK,5,814259361.9117455,77.06647907140345,85.70015258983517,38.29433512687683
NK,6,814259361.9117455,77.06647907140345,85.70015258983517,39.540273904800415
NK,7,814259361.9117455,77.06647907140345,85.70015258983517,40.77382183074951
NK,8,814259361.9117455,77.06647907140345,85.70015258983517,38.692787170410156